Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Flow,7.9, (55K),1h 25m,Animation
The Wild Robot,8.2, (150K),1h 42m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3, (27K),2h 14m,Animation
Mufasa: The Lion King,6.6, (47K),1h 58m,Animation
Despicable Me 4,6.2, (62K),1h 34m,Animation
Moana 2,6.7, (83K),1h 40m,Animation
Spermageddon,5.7, (561),1h 20m,Animation
Inside Out 2,7.5, (210K),1h 36m,Animation
Memoir of a Snail,7.8, (15K),1h 35m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Animation
Night of the Zoopocalypse,6.2, (292),1h 31m,Animation
Transformers One,7.6, (47K),1h 44m,Animation
IF,6.4, (56K),1h 44m,Animation
Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,Animation
Solo Leveling: ReAwakening,8.7, (6K),2h 1m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Animation
The Garfield Movie,5.7, (23K),1h 41m,Animation
Kung Fu Panda 4,6.3, (66K),1h 34m,Animation
Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Animation
Grand Theft Hamlet,6.9, (1.5K),1h 29m,Animation
Watchmen: Chapter I,7.0, (6.2K),1h 23m,Animation
A Sloth Story,5.9, (159),1h 30m,Animation
Look Back,7.8, (14K),58m,Animation
Hitpig,5.1, (814),1h 26m,Animation
Spellbound,5.7, (6.3K),1h 49m,Animation
Piece by Piece,6.9, (5K),1h 33m,Animation
Watchmen: Chapter II,7.0, (2.7K),1h 30m,Animation
Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Animation
Orion and the Dark,6.3, (17K),1h 33m,Animation
The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Animation
That Christmas,6.8, (17K),1h 31m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Animation
Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
The Lost Tiger,7.8, (31),1h 30m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.3K),1h 34m,Animation
The Most Precious of Cargoes,7.2, (676),1h 21m,Animation
The Tiger's Apprentice,5.8, (2.1K),1h 24m,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.6, (302),1h 46m,Animation
10 Lives,5.9, (1.8K),1h 28m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Animation
