Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Flow,7.9, (55K),1h 25m,Family
Sonic the Hedgehog 3,6.9, (51K),1h 50m,Family
Mufasa: The Lion King,6.6, (47K),1h 58m,Family
Despicable Me 4,6.2, (62K),1h 34m,Family
Paddington in Peru,6.7, (16K),1h 46m,Family
Moana 2,6.7, (83K),1h 40m,Family
Inside Out 2,7.5, (210K),1h 36m,Family
Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Family
Transformers One,7.6, (47K),1h 44m,Family
IF,6.4, (56K),1h 44m,Family
The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Family
Fear,8.6, (2.7K),1h 55m,Family
The Garfield Movie,5.7, (23K),1h 41m,Family
The Forge,6.7, (4.5K),2h 4m,Family
Kung Fu Panda 4,6.3, (66K),1h 34m,Family
Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Family
Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Family
A Sloth Story,5.9, (159),1h 30m,Family
Young Hearts,8.1, (4.3K),1h 37m,Family
How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,Family
Hitpig,5.1, (814),1h 26m,Family
Spellbound,5.7, (6.3K),1h 49m,Family
Lost on a Mountain in Maine,6.2, (1.1K),1h 38m,Family
Piece by Piece,6.9, (5K),1h 33m,Family
Faith of Angels,5.9, (166),1h 38m,Family
Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Family
Panda Plan,5.1, (1.1K),1h 39m,Family
You Gotta Believe,5.8, (1.2K),1h 44m,Family
My Penguin Friend,6.7, (4.6K),1h 37m,Family
Unsung Hero,7.0, (4.9K),1h 53m,Family
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Family
Orion and the Dark,6.3, (17K),1h 33m,Family
Guest from the Future,6.0, (1.1K),2h 21m,Family
Big World,7.4, (954),2h 11m,Family
The Thundermans Return,5.0, (1.8K),1h 10m,Family
That Christmas,6.8, (17K),1h 31m,Family
Thelma the Unicorn,5.7, (2.9K),1h 33m,Family
The Lost Tiger,7.8, (31),1h 30m,Family
Autumn and the Black Jaguar,5.6, (955),1h 40m,Family
The Tiger's Apprentice,5.8, (2.1K),1h 24m,Family
Crayon Shin-chan: Ora's Dinosaur Diary,6.6, (302),1h 46m,Family
Bambi: A Tale of Life in the Woods,5.7, (149),1h 25m,Family
10 Lives,5.9, (1.8K),1h 28m,Family
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Family
Ultraman: Rising,6.9, (6.2K),1h 57m,Family
Storm Crashers,6.3, (548),1h 28m,Family
200% Wolf,6.0, (1.3K),1h 38m,Family
Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Family
Woodwalkers,5.4, (325),1h 43m,Family
Meiyazhagan,8.4, (13K),2h 57m,Family
Runt,6.4, (487),1h 31m,Family
Buffalo Kids,6.6, (622),1h 33m,Family
Bibi Rajni,8.6, (707),2h 23m,Family
Average Joe,4.2, (559),1h 40m,Family
Rebellious,6.0, (155),1h 34m,Family
Der Buchspazierer,7.3, (344),1h 38m,Family
Ghost Cat Anzu,6.5, (665),1h 37m,Family
The Night Before Christmas in Wonderland,6.3, (506),1h 20m,Family
My Freaky Family,6.5, (383),1h 26m,Family
Ryan's World the Movie: Titan Universe Adventure,1.8, (632),1h 20m,Family
Savages,7.0, (264),1h 27m,Family
The Groomsmen: First Look,6.1, (373),1h 22m,Family
Robin and the Hoods,4.4, (504),1h 40m,Family
Man and Witch: The Dance of a Thousand Steps,5.6, (324),1h 34m,Family
Gracie and Pedro: Pets to the Rescue,5.1, (255),1h 27m,Family
And the Breadwinner Is...,6.8, (241),2h 3m,Family
Believe in Christmas,6.1, (817),1h 30m,Family
Super-Charlie,6.4, (102),1h 20m,Family
Return to Wickensburg,4.9, (21),1h 28m,Family
Home Sweet Loan,8.1, (809),1h 52m,Family
A Sudden Case of Christmas,5.1, (1.1K),1h 31m,Family
A Nashville Wish,5.6, (87),1h 42m,Family
Noah's Ark,4.3, (623),1h 36m,Family
My Oni Girl,6.0, (1.7K),1h 52m,Family
A Brother and 7 Siblings,8.6, (1.1K),2h 9m,Family
School of Magical Animals 3,5.9, (294),1h 45m,Family
Disaster Holiday,4.8, (667),1h 33m,Family
A Carpenter's Prayer,8.6, (33),1h 31m,Family
Rally Caps,5.5, (125),1h 40m,Family
Marry Christmas,6.9, (57),1h 25m,Family
Chico Bento e a Goiabeira Maraviosa,7.8, (451),1h 30m,Family
Living Large,7.8, (97),1h 20m,Family
Børnene fra Sølvgade,7.6, (89),1h 42m,Family
Dalia y el Libro Rojo,7.0, (31),1h 47m,Family
Panda Bear in Africa,5.5, (307),1h 24m,Family
Brewster's Millions: Christmas,5.7, (184),1h 40m,Family
Like a Rolling Stone,7.8, (405),1h 46m,Family
Going Viral,6.8, (49),1h 30m,Family
Victoria må dø,5.9, (344),1h 25m,Family
The Neon Highway,6.0, (483),1h 53m,Family
The Snow Sister,7.0, (2.1K),1h 36m,Family
Bremenskie muzykanty,4.6, (660),1h 55m,Family
Father There is Only One 4,5.2, (598),1h 30m,Family
Bila Esok Ibu Tiada,6.6, (220),1h 44m,Family
Treasure Trackers,5.8, (149),1h 32m,Family
2nd Miracle in Cell No. 7,7.8, (197),2h 27m,Family
No Time to Spy: A Loud House Movie,6.4, (432),1h 21m,Family
Dear Family,7.0, (47),1h 56m,Family
The Primrose Railway Children,4.9, (142),1h 21m,Family
"Maya, donne-moi un titre",6.5, (46),1h 1m,Family
The Casagrandes Movie,5.6, (650),1h 29m,Family
Paper Flowers,9.0, (28),1h 40m,Family
Windcatcher,5.3, (406),1h 20m,Family
Il migliore dei mali,7.8, (6),1h 30m,Family
Heartsping : Teenieping of Love,7.2, (20),TV-Y,Family
Ole Aale,8.7, (406),2h 22m,Family
Juliette au printemps,6.5, (214),1h 35m,Family
Dance Rivals,6.0, (63),1h 33m,Family
The Lamb,7.1, (27),1h 25m,Family
Juf Braaksel en de Geniale Ontsnapping,4.0, (42),1h 23m,Family
Big City Greens the Movie: Spacecation,6.2, (528),TV-Y7,Family
Véletlenül írtam egy könyvet,7.7, (268),1h 38m,Family
Skelly,5.6, (88),1h 25m,Family
Grrr...,4.0, (805),2h 1m,Family
Saint Nick of Bethlehem,9.3, (94),1h 33m,Family
G for Gap,7.2, (530),1h 43m,Family
The Magic Penguin,3.8, (25),1h 29m,Family
Dog Days,6.7, (295),2h,Family
Troy the Bharat Putra,5.7, (30),2h 14m,Family
Dongeng Sang Kancil,8.1, (76),1h 39m,Family
Singapore Saloon,6.0, (1.2K),2h 17m,Family
Si Juki the Movie: Harta Pulau Monyet,6.0, (114),1h 47m,Family
Kvitebjørn,5.9, (51),1h 25m,Family
Vishesham,6.7, (1.3K),2h 16m,Family
Laggam,8.5, (5.1K),2h 10m,Family
"Love, Sitara",5.3, (294),1h 45m,Family
Joy of Horses,5.8, (160),1h 30m,Family
Goldbeak,4.9, (125),1h 34m,Family
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Family
Magic Beach,5.5, (58),1h 20m,Family
14 Days Love,7.5, (8),1h 52m,Family
The Proud Princess,7.1, (97),1h 24m,Family
Cup,8.5, (65),2h 26m,Family
Niko: Beyond the Northern Lights,6.3, (288),1h 26m,Family
Letuchiy korabl,3.7, (287),1h 40m,Family
Domovyonok Kuzya,6.5, (800),1h 30m,Family
SuperKlaus,4.3, (189),1h 28m,Family
Ghudchadi,4.2, (548),1h 53m,Family
Animal Tales of Christmas Magic,6.8, (50),1h 12m,Family
Little Emma,5.7, (97),1h 46m,Family
Hashtag Tadev lagnam,6.5, (124),1h 58m,Family
Stinky Summer,5.9, (45),1h 30m,Family
Yolki 11,4.7, (163),1h 32m,Family
For Prophet,5.4, (104),1h 45m,Family
Peppa's Cinema Party,5.0, (152),1h 5m,Family
Daaru Na Peenda Hove,7.7, (2.3K),1h 51m,Family
Sabari,8.4, (5.4K),2h 9m,Family
The Legend of Catclaws Mountain,3.5, (170),1h 44m,Family
Babah,7.0, (105),2h 9m,Family
The Big Trip 3: Race Around the World,5.8, (49),1h 25m,Family
Dedh Bigha Zameen,6.9, (739),1h 40m,Family
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (71),1h 10m,Family
Luv Ki Arrange Marriage,3.9, (4.5K),2h 15m,Family
Baba Yaga spasaet Novyy god,4.4, (113),1h 39m,Family
LasseMajas detektivbyrå - Maskoten som försvann,6.1, (53),1h 30m,Family
Superkrachten voor je hoofd,7.3, (193),1h 32m,Family
Too Old for Fairy Tales 2,4.8, (386),1h 35m,Family
Heavens: The Boy and His Robot,6.3, (21),1h 38m,Family
Rajakili,8.8, (538),2h 2m,Family
Daye: Seret ahl el Daye,7.6, (14),1h 44m,Family
Captain Avispa,5.8, (172),1h 36m,Family
Rajkumar,7.3, (2.6K),2h 25m,Family
Paagal vs Kadhal,9.0, (2.1K),1h 51m,Family
Luigi's Mansion,6.0, (17),1h,Family
Gharat Ganpati,7.9, (490),2h 19m,Family
Powder Pup,6.2, (73),1h 29m,Family
Spirit of Friendship,4.3, (72),1h 25m,Family
Carol,8.3, (47),1h 55m,Family
Ognivo,5.4, (211),1h 45m,Family
De Bellinga's: Pretpark op stelten,3.1, (122),1h 10m,Family
BeBe Winans' We Three Kings,6.9, (126),1h 30m,Family
Sieger Sein,6.6, (166),1h 59m,Family
Brother,6.3, (2.3K),2h 20m,Family
Baii Ga,4.2, (59),2h 14m,Family
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5.0, (7),1h 14m,Family
Steal the Naughty List,6.7, (113),1h 30m,Family
Yaren Leylek,6.2, (23),1h 35m,Family
Chicken Coop,5.7, (86),1h 38m,Family
Super papa,5.2, (109),1h 30m,Family
Gina,7.7, (21),1h 40m,Family
Feather Christmas,5.2, (120),1h 34m,Family
Mr. Santa: A Christmas Extravaganza,8.5, (16),1h 38m,Family
Sunny,7.6, (21),2h 2m,Family
DeAr,5.1, (1.3K),2h 12m,Family
"Die Heinzels: Neue Mützen, Neue Mission",6.4, (62),1h 16m,Family
Vaar Tahevaar,8.0, (278),2h 7m,Family
Masha i Medved v kino: Park chudes,7.0, (16),58m,Family
Our Christmas House,5.4, (44),1h 17m,Family
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8, (14),1h 30m,Family
"7 dney, 7 nochey",6.3, (402),1h 38m,Family
Tri kota. Zimnie kanikuly,6.3, (26),1h 5m,Family
Our Church Thinks We're Dating,7.5, (59),1h 42m,Family
Chithini,6.0, (551),2h 31m,Family
Manyunya. Priklyucheniya v derevne,5.8, (113),1h 24m,Family
A Christmas Miracle,6.0, (65),1h 28m,Family
Zak & Wowo: The Legend of Lendarys,5.7, (85),1h 25m,Family
Askepote,3.4, (79),1h 12m,Family
Kardes Takimi,3.5, (535),1h 35m,Family
Wedding Diaries,9.0, (2K),2h 1m,Family
Mees Kees op eigen benen,6.1, (31),1h 22m,Family
The Adventures of Jurassic Pet: Return to the Wild,5.5, (51),1h 30m,Family
Woof Woof Daddy,6.5, (39),1h 45m,Family
Planet 7693,7.6, (66),1h 50m,Family
Porch Pirates,5.0, (100),1h 47m,Family
Oyunda Kal: Eglence Arenasi,2.7, (35),1h 32m,Family
Grüsse vom Mars,6.5, (18),1h 25m,Family
The Hedgehog,6.7, (664),1h 44m,Family
Ducobu passe au vert!,4.0, (124),1h 30m,Family
Krispy Rishtey,6.6, (69),2h 13m,Family
"Akiko, der fliegende Affe",8.4, (10),1h 10m,Family
Dikkie Dik en de Verdwenen Knuffel,7.2, (125),1h 2m,Family
The Secret of Pin-Up Island,7.4, (92),1h 47m,Family
Double Engine,5.6, (114),1h 46m,Family
Gowri,7.4, (4.1K),2h 10m,Family
Padmavyuham Lo Chakradhari,7.4, (1.7K),1h 50m,Family
Thookudurai,4.3, (2.3K),2h 5m,Family
Håkan Bråkan 2,5.4, (127),1h 32m,Family
Amaltash,8.1, (144),1h 53m,Family
Uma & Haggen: Mitos,7.4, (44),1h 34m,Family
Die Chaosschwestern und Pinguin Paul,5.6, (65),1h 40m,Family
Tartinijev kljuc,7.8, (21),1h 55m,Family
CBeebies Panto: Beauty and the Beast,7.8, (16),1h 13m,Family
Inanimate Insanity II: The Movie,8.9, (224),1h 46m,Family
Double Tuckerr,5.0, (1.2K),2h,Family
Mountain Boy,8.2, (17),1h 33m,Family
My Dear Donga,5.7, (160),2h 12m,Family
"Robotia, the Movie",8.2, (17),1h 26m,Family
Ne odna doma,4.1, (78),1h 19m,Family
Max und die wilde 7: Die Geister-Oma,6.2, (46),1h 30m,Family
Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,Family
Eine zweite Chance,8.6, (39),1h 31m,Family
Christmas Carole,4.3, (73),1h 33m,Family
Palayam PC,5.2, (136),1h 58m,Family
Rocket Club: Across the Cosmos,8.2, (18),1h 8m,Family
Miracle Mile,8.7, (27),1h 22m,Family
Hope's Hollywood Christmas,8.9, (28),1h 30m,Family
Pui Pui Molcar the Movie: Molmax,6.7, (6),1h 9m,Family
Last Defenders of Monogamy,5.3, (385),1h 24m,Family
Smotri na menya!,5.6, (63),2h,Family
Obraz,7.5, (15),1h 35m,Family
Semeynyy perepolokh,4.8, (58),1h 27m,Family
Manyunya. Priklyucheniya v Moskve,7.3, (105),1h 27m,Family
De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,5.8, (50),1h 19m,Family
"Heinähattu, Vilttitossu ja kana",4.9, (58),1h 17m,Family
When the World Met Miss Probinsyana,9.5, (41),2h 35m,Family
Petualangan Anak Penangkap Hantu,6.0, (23),1h 39m,Family
A House Without a Father,6.2, (34),1h 1m,Family
Boom!,8.3, (10),1h 30m,Family
Scooped,5.2, (43),1h 24m,Family
De Legende van Familie Vos,5.7, (58),1h 21m,Family
Nadanna Sambhavam,5.8, (1.4K),2h,Family
Perfekta: Uma Aventura da Escola de Gênios,5.8, (15),1h 32m,Family
A Holiday for Harmony,3.6, (35),2h,Family
Little Town,6.8, (11),1h 30m,Family
Mastaani,9.3, (24),2h 30m,Family
