Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Flow,7.9, (55K),1h 25m,Fantasy
Nosferatu,7.3, (176K),2h 12m,Fantasy
Wicked,7.5, (140K),2h 40m,Fantasy
Sonic the Hedgehog 3,6.9, (51K),1h 50m,Fantasy
The Lord of the Rings: The War of the Rohirrim,6.3, (27K),2h 14m,Fantasy
Mufasa: The Lion King,6.6, (47K),1h 58m,Fantasy
Better Man,7.6, (21K),2h 15m,Fantasy
Parthenope,6.7, (8.5K),2h 17m,Fantasy
Moana 2,6.7, (83K),1h 40m,Fantasy
Megalopolis,4.7, (34K),2h 18m,Fantasy
The Watchers,5.7, (55K),1h 42m,Fantasy
The Crow,4.7, (32K),1h 51m,Fantasy
Inside Out 2,7.5, (210K),1h 36m,Fantasy
Beetlejuice Beetlejuice,6.7, (143K),1h 45m,Fantasy
Red One,6.3, (137K),2h 3m,Fantasy
Transformers One,7.6, (47K),1h 44m,Fantasy
IF,6.4, (56K),1h 44m,Fantasy
Damsel,6.1, (108K),1h 50m,Fantasy
Solo Leveling: ReAwakening,8.7, (6K),2h 1m,Fantasy
Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,Fantasy
Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,Fantasy
The Life of Chuck,7.8, (454),1h 50m,Fantasy
The Garfield Movie,5.7, (23K),1h 41m,Fantasy
Uglies,4.7, (32K),1h 40m,Fantasy
Kung Fu Panda 4,6.3, (66K),1h 34m,Fantasy
Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Fantasy
Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Fantasy
Hagen,6.2, (961),2h 19m,Fantasy
Kalki 2898 AD,7.0, (66K),3h,Fantasy
Spellbound,5.7, (6.3K),1h 49m,Fantasy
The Tearsmith,5.2, (12K),1h 43m,Fantasy
Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Fantasy
A Dog's Will 2,6.3, (2.6K),1h 44m,Fantasy
Monster Summer,5.7, (3.5K),1h 37m,Fantasy
The End,5.5, (1.6K),2h 28m,Fantasy
Girl Haunts Boy,6.3, (2.8K),1h 40m,Fantasy
The Wonderful Story of Henry Sugar and Three More,7.1, (6.1K),1h 28m,Fantasy
Family Pack,5.5, (8.7K),1h 34m,Fantasy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Fantasy
Orion and the Dark,6.3, (17K),1h 33m,Fantasy
The American Society of Magical Negroes,3.7, (12K),1h 44m,Fantasy
Irish Wish,5.2, (21K),1h 33m,Fantasy
The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Fantasy
The Sand Castle,4.7, (1.6K),1h 38m,Fantasy
Dear Santa,5.4, (18K),1h 47m,Fantasy
Unspeakable: Beyond the Wall of Sleep,6.3, (35),1h 30m,Fantasy
The Thundermans Return,5.0, (1.8K),1h 10m,Fantasy
Pedro Páramo,6.3, (2.8K),2h 10m,Fantasy
That Christmas,6.8, (17K),1h 31m,Fantasy
Hot Frosty,5.3, (14K),1h 32m,Fantasy
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Fantasy
This Is Me... Now,4.1, (7.1K),1h 5m,Fantasy
Bhool Bhulaiyaa 3,4.7, (77K),2h 38m,Fantasy
Thelma the Unicorn,5.7, (2.9K),1h 33m,Fantasy
The Lost Tiger,7.8, (31),1h 30m,Fantasy
Cells at Work!,6.8, (159),1h 49m,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.3K),1h 34m,Fantasy
Timestalker,5.5, (2.8K),1h 29m,Fantasy
The Tiger's Apprentice,5.8, (2.1K),1h 24m,Fantasy
The Balconettes,6.3, (731),1h 44m,Fantasy
10 Lives,5.9, (1.8K),1h 28m,Fantasy
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Fantasy
Ultraman: Rising,6.9, (6.2K),1h 57m,Fantasy
200% Wolf,6.0, (1.3K),1h 38m,Fantasy
Dragonkeeper,5.7, (1.6K),1h 38m,Fantasy
Cinderella's Revenge,3.7, (1.1K),1h 25m,Fantasy
Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Fantasy
Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Fantasy
Cinderella's Curse,3.3, (1.3K),1h 22m,Fantasy
Dan Da Dan: First Encounter,8.2, (2.5K),1h 23m,Fantasy
Warchief,2.5, (600),1h 34m,Fantasy
A Trip Elsewhere,5.6, (92),1h 33m,Fantasy
Woodwalkers,5.4, (325),1h 43m,Fantasy
Mars,8.9, (19),1h 24m,Fantasy
Gaami,6.4, (2K),2h 27m,Fantasy
Mononoke the Movie: The Phantom in the Rain,6.8, (1.1K),1h 29m,Fantasy
Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Fantasy
Buffalo Kids,6.6, (622),1h 33m,Fantasy
Hanu Man,7.7, (29K),2h 38m,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.2K),1h 44m,Fantasy
Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,Fantasy
