Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
The Substance,7.3, (276K),2h 21m,Sci-Fi
Dune: Part Two,8.5, (610K),2h 46m,Sci-Fi
Venom: The Last Dance,6.0, (105K),1h 50m,Sci-Fi
The Wild Robot,8.2, (150K),1h 42m,Sci-Fi
Sonic the Hedgehog 3,6.9, (51K),1h 50m,Sci-Fi
Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,Sci-Fi
Elevation,5.6, (19K),1h 31m,Sci-Fi
Despicable Me 4,6.2, (62K),1h 34m,Sci-Fi
Borderlands,4.7, (45K),1h 41m,Sci-Fi
Deadpool & Wolverine,7.6, (478K),2h 8m,Sci-Fi
Alien: Romulus,7.1, (236K),1h 59m,Sci-Fi
Megalopolis,4.7, (34K),2h 18m,Sci-Fi
Subservience,5.4, (26K),1h 46m,Sci-Fi
Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,Sci-Fi
Madame Web,4.0, (99K),1h 56m,Sci-Fi
Caddo Lake,6.8, (40K),1h 43m,Sci-Fi
Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Sci-Fi
It's What's Inside,6.6, (40K),1h 43m,Sci-Fi
Transformers One,7.6, (47K),1h 44m,Sci-Fi
A Quiet Place: Day One,6.3, (144K),1h 39m,Sci-Fi
The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Sci-Fi
Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,Sci-Fi
Things Will Be Different,5.2, (2.3K),1h 42m,Sci-Fi
Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,Sci-Fi
The Life of Chuck,7.8, (454),1h 50m,Sci-Fi
Spaceman,5.7, (42K),1h 47m,Sci-Fi
Uglies,4.7, (32K),1h 40m,Sci-Fi
Slingshot,5.7, (8.6K),1h 48m,Sci-Fi
Arcadian,5.5, (22K),1h 32m,Sci-Fi
The Assessment,7.2, (445),1h 49m,Sci-Fi
Distant,5.7, (2.9K),1h 27m,Sci-Fi
Y2K,4.9, (9.7K),1h 31m,Sci-Fi
The Shrouds,5.8, (711),1h 59m,Sci-Fi
Apocalypse Z: The Beginning of the End,6.1, (19K),1h 57m,Sci-Fi
Time Cut,5.0, (18K),1h 31m,Sci-Fi
Watchmen: Chapter I,7.0, (6.2K),1h 23m,Sci-Fi
Atlas,5.6, (55K),1h 58m,Sci-Fi
We're All Gonna Die,8.3, (70),1h 50m,Sci-Fi
Love Me,5.2, (2.1K),1h 31m,Sci-Fi
Kalki 2898 AD,7.0, (66K),3h,Sci-Fi
Omni Loop,5.5, (2.6K),1h 52m,Sci-Fi
Survive,4.6, (2K),1h 30m,Sci-Fi
Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Sci-Fi
Die Alone,5.7, (2.5K),1h 31m,Sci-Fi
Afraid,5.2, (13K),1h 24m,Sci-Fi
The End,5.5, (1.6K),2h 28m,Sci-Fi
The Platform 2,4.9, (39K),1h 39m,Sci-Fi
Watchmen: Chapter II,7.0, (2.7K),1h 30m,Sci-Fi
Sting,5.7, (16K),1h 31m,Sci-Fi
Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Sci-Fi
Turn Me On,5.6, (415),1h 39m,Sci-Fi
Breathe,4.2, (7K),1h 33m,Sci-Fi
The Empire,5.2, (1.2K),1h 50m,Sci-Fi
Moon Maidens 2,3.6, (27),1h 9m,Sci-Fi
V/H/S/Beyond,5.9, (9.1K),1h 54m,Sci-Fi
South of Hope Street,6.5, (1.3K),1h 41m,Sci-Fi
The Thinking Game,7.9, (91),1h 24m,Sci-Fi
Levels,5.0, (1.4K),1h 33m,Sci-Fi
Guest from the Future,6.0, (1.1K),2h 21m,Sci-Fi
Rich Flu,7.6, (3.8K),1h 56m,Sci-Fi
Year 10,5.4, (1.8K),1h 36m,Sci-Fi
Unspeakable: Beyond the Wall of Sleep,6.3, (35),1h 30m,Sci-Fi
The Silent Planet,4.8, (161),1h 35m,Sci-Fi
My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Sci-Fi
The Thundermans Return,5.0, (1.8K),1h 10m,Sci-Fi
Code 8: Part II,5.7, (16K),1h 40m,Sci-Fi
The Fix,4.6, (1.1K),1h 38m,Sci-Fi
The Greatest Hits,6.2, (7.2K),1h 34m,Sci-Fi
Drive Back,4.7, (286),1h 34m,Sci-Fi
Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Sci-Fi
Badland Hunters,5.9, (12K),1h 47m,Sci-Fi
Last Night on Earth,4.8, (318),1h 26m,Sci-Fi
Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.3K),1h 34m,Sci-Fi
Timestalker,5.5, (2.8K),1h 29m,Sci-Fi
Test Screening,6.9, (64),1h 32m,Sci-Fi
Street Trash,4.4, (731),1h 25m,Sci-Fi
Arena Wars,5.0, (2K),1h 36m,Sci-Fi
City Hunter,6.3, (5.5K),1h 42m,Sci-Fi
Fight Another Day,5.1, (321),1h 37m,Sci-Fi
Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Sci-Fi
Ultraman: Rising,6.9, (6.2K),1h 57m,Sci-Fi
Trapped Inn,2.8, (879),1h 55m,Sci-Fi
X Files,1.9, (58),1h 14m,Sci-Fi
Latency,4.2, (1.7K),1h 34m,Sci-Fi
Parallel,5.3, (1.9K),1h 28m,Sci-Fi
Sentinel,2.6, (748),1h 30m,Sci-Fi
Agent Recon,2.4, (656),1h 25m,Sci-Fi
Wonderland,6.2, (2.1K),1h 53m,Sci-Fi
Alien: Rubicon,2.4, (327),1h 26m,Sci-Fi
Mars,8.9, (19),1h 24m,Sci-Fi
Gaami,6.4, (2K),2h 27m,Sci-Fi
